0.336456298828125+0i,410.411513064989-8.42674100920891e-11i
0.67291259765625+0i,410.411513066762-1.6811406781248e-10i
1.00936889648438+0i,410.411513071631-2.47005966046963e-10i
1.3458251953125+0i,410.411513076312-3.24562294238147e-10i
1.68228149414062+0i,410.411513075578-4.17628882287227e-10i
2.01873779296875+0i,410.411513050862-5.95472791122615e-10i
2.35519409179688+0i,410.41151300448-8.94649391525094e-10i
2.691650390625+0i,410.411512932707-1.37108019596735e-09i
3.02810668945312+0i,410.411512844706-2.01787864818017e-09i
3.36456298828125+0i,410.411512755446-2.78427344790787e-09i
3.70101928710938+0i,410.411512699235-3.43951157217664e-09i
4.0374755859375+0i,410.411512692075-3.79987294289393e-09i
4.37393188476562+0i,410.411512737727-3.73594675712146e-09i
4.71038818359375+0i,410.411512816765-3.29422611902272e-09i
5.04684448242188+0i,410.411512897127-2.69143389519359e-09i
5.38330078125+0i,410.411512957871-2.13308509839094e-09i
5.71975708007812+0i,410.411512974091-1.92330621827613e-09i
6.05621337890625+0i,410.411512949935-2.12575173927933e-09i
6.39266967773438+0i,410.411512891891-2.76771773125643e-09i
6.7291259765625+0i,410.411512795206-3.9461968520889e-09i
7.06558227539062+0i,410.411512645164-5.87885251531438e-09i
7.40203857421875+0i,410.411512428754-8.83002188612408e-09i
7.73849487304688+0i,410.411512140149-1.29742383550229e-08i
8.074951171875+0i,410.411511816535-1.7979940419791e-08i
8.41140747070312+0i,410.411511530301-2.29013612692698e-08i
8.74786376953125+0i,410.411511338257-2.68601544651747e-08i
9.08432006835938+0i,410.411511248425-2.94487615945927e-08i
9.4207763671875+0i,410.411511147124-3.21500602824556e-08i
9.75723266601562+0i,410.41151083121-3.80943664408806e-08i
10.0936889648438+0i,410.41151006005-5.15848472042667e-08i
10.4301452636719+0i,410.411508727233-7.53243508903339e-08i
10.7666015625+0i,410.411506858924-1.10109657535308e-07i
11.1030578613281+0i,410.411504773512-1.51368839337427e-07i
11.4395141601562+0i,410.411502960358-1.90666142930631e-07i
11.7759704589844+0i,410.411501881689-2.18654978876359e-07i
12.1124267578125+0i,410.411501835298-2.27697236748442e-07i
12.4488830566406+0i,410.41150282313-2.15124406746134e-07i
12.7853393554688+0i,410.411504494376-1.85469972571093e-07i
13.1217956542969+0i,410.411506299343-1.48294977665331e-07i
13.458251953125+0i,410.411507667703-1.15683946313192e-07i
13.7947082519531+0i,410.411508206938-9.75371097807234e-08i
14.1311645507812+0i,410.411507810193-9.92483866853468e-08i
14.4676208496094+0i,410.411506670243-1.20061366038246e-07i
14.8040771484375+0i,410.411505157521-1.54465178909657e-07i
15.1405334472656+0i,410.411503774264-1.926437531261e-07i
