0.336456298828125+0i,411.389797728721-3.42757274020557e-10i
0.67291259765625+0i,411.389797740023-6.61810454793865e-10i
1.00936889648438+0i,411.389797744305-9.49464776962655e-10i
1.3458251953125+0i,411.389797736517-1.2254135915987e-09i
1.68228149414062+0i,411.389797710976-1.51881831866098e-09i
2.01873779296875+0i,411.389797668231-1.85567694562879e-09i
2.35519409179688+0i,411.389797617182-2.2388442621392e-09i
2.691650390625+0i,411.38979757321-2.64507628220007e-09i
3.02810668945312+0i,411.389797547549-3.05027366576839e-09i
3.36456298828125+0i,411.3897975573-3.39762278801822e-09i
3.70101928710938+0i,411.389797607307-3.6511713527421e-09i
4.0374755859375+0i,411.38979768582-3.78943824407996e-09i
4.37393188476562+0i,411.389797762265-3.87958676793643e-09i
4.71038818359375+0i,411.389797793792-4.05402239773016e-09i
5.04684448242188+0i,411.389797742631-4.54187012432228e-09i
5.38330078125+0i,411.389797604527-5.48544186435668e-09i
5.71975708007812+0i,411.389797416475-6.85037051366556e-09i
6.05621337890625+0i,411.389797248697-8.35871819524456e-09i
6.39266967773438+0i,411.389797159753-9.68142778449821e-09i
6.7291259765625+0i,411.389797152979-1.07759914538474e-08i
7.06558227539062+0i,411.389797147355-1.22824068550094e-08i
7.40203857421875+0i,411.389797019281-1.53565337024097e-08i
7.73849487304688+0i,411.389796665515-2.11475338846892e-08i
8.074951171875+0i,411.389796065868-3.01303218418103e-08i
8.41140747070312+0i,411.38979532448-4.12393690213361e-08i
8.74786376953125+0i,411.389794602661-5.20868572784547e-08i
9.08432006835938+0i,411.389794007984-6.01829679023908e-08i
9.4207763671875+0i,411.389793472786-6.4797525532193e-08i
9.75723266601562+0i,411.389792747088-6.8210709766666e-08i
10.0936889648438+0i,411.389791458991-7.60678438695315e-08i
10.4301452636719+0i,411.389789373835-9.45800741623249e-08i
10.7666015625+0i,411.389786522821-1.27993092230123e-07i
11.1030578613281+0i,411.389783339683-1.74881586049186e-07i
11.4395141601562+0i,411.38978051281-2.27959410374005e-07i
11.7759704589844+0i,411.389778794535-2.74963132200074e-07i
12.1124267578125+0i,411.389778630163-3.0447849818643e-07i
