0.336456298828125+0i,411.76047578758-2.46447915275356e-11i
0.67291259765625+0i,411.760475779487-5.2110899754445e-11i
1.00936889648438+0i,411.760475773166-7.90609734812125e-11i
1.3458251953125+0i,411.760475773084-9.561692312813e-11i
1.68228149414062+0i,411.760475779944-9.70212639100038e-11i
2.01873779296875+0i,411.760475788924-9.11357145296084e-11i
2.35519409179688+0i,411.760475792042-1.01521652828488e-10i
2.691650390625+0i,411.760475782453-1.592796312925e-10i
3.02810668945312+0i,411.760475760654-2.75235400799235e-10i
3.36456298828125+0i,411.760475732716-4.33195279532732e-10i
3.70101928710938+0i,411.76047571093-5.85714659272542e-10i
4.0374755859375+0i,411.760475707417-6.56149226448218e-10i
4.37393188476562+0i,411.76047572377-6.19348371382887e-10i
4.71038818359375+0i,411.760475755875-4.68612193938437e-10i
5.04684448242188+0i,411.760475787791-2.73631866029792e-10i
5.38330078125+0i,411.760475804208-1.30894003196305e-10i
5.71975708007812+0i,411.76047579406-1.36982791805236e-10i
6.05621337890625+0i,411.760475759526-3.19794929235712e-10i
6.39266967773438+0i,411.760475712608-6.38653343327341e-10i
6.7291259765625+0i,411.760475670143-9.81609141413925e-10i
7.06558227539062+0i,411.760475648925-1.21517904480247e-09i
7.40203857421875+0i,411.760475650625-1.290447195749e-09i
7.73849487304688+0i,411.760475674762-1.15899630811091e-09i
8.074951171875+0i,411.760475702033-9.43487010548162e-10i
8.41140747070312+0i,411.76047572324-7.43598672902197e-10i
8.74786376953125+0i,411.760475728577-6.91613116033062e-10i
9.08432006835938+0i,411.760475718742-8.43090956706763e-10i
9.4207763671875+0i,411.760475701842-1.15647459102578e-09i
9.75723266601562+0i,411.760475687245-1.52188207488764e-09i
10.0936889648438+0i,411.760475679276-1.82770838540793e-09i
10.4301452636719+0i,411.760475680397-1.96965615406625e-09i
10.7666015625+0i,411.760475682736-1.95899257922771e-09i
11.1030578613281+0i,411.760475682977-1.84501835092906e-09i
11.4395141601562+0i,411.760475677311-1.70243694008956e-09i
11.7759704589844+0i,411.760475663914-1.70671184420161e-09i
12.1124267578125+0i,411.760475644995-1.92514495939716e-09i
12.4488830566406+0i,411.760475626659-2.32629186631175e-09i
12.7853393554688+0i,411.760475609618-2.89277052071396e-09i
13.1217956542969+0i,411.760475593878-3.51013580712014e-09i
13.458251953125+0i,411.760475588272-3.9662996290081e-09i
13.7947082519531+0i,411.760475591103-4.22007952100569e-09i
14.1311645507812+0i,411.760475602649-4.19463296433818e-09i
14.4676208496094+0i,411.760475621487-3.94041661178802e-09i
14.8040771484375+0i,411.760475638425-3.61070076521123e-09i
15.1405334472656+0i,411.760475644002-3.31475445515481e-09i
15.4769897460938+0i,411.760475632033-3.16211983616612e-09i
15.8134460449219+0i,411.76047560616-3.11254481539853e-09i
16.14990234375+0i,411.760475576186-3.09413666080191e-09i
16.4863586425781+0i,411.760475562222-2.91589172312772e-09i
16.8228149414062+0i,411.760475572825-2.54779050748493e-09i
17.1592712402344+0i,411.760475617203-1.91790192552393e-09i
17.4957275390625+0i,411.760475680085-1.19615322278851e-09i
17.8321838378906+0i,411.760475741358-5.60619706499235e-10i
18.1686401367188+0i,411.760475779333-6.48639922212455e-11i
18.5050964355469+0i,411.760475786079+2.54277732555995e-10i
18.841552734375+0i,411.760475763176+5.52656721405632e-10i
19.1780090332031+0i,411.760475725381+8.06798136497437e-10i
19.5144653320312+0i,411.760475691843+1.13876167560195e-09i
19.8509216308594+0i,411.760475673778+1.42020994180698e-09i
20.1873779296875+0i,411.760475672441+1.41144204494627e-09i
20.5238342285156+0i,411.760475684119+9.67910549425901e-10i
20.8602905273438+0i,411.760475697892+7.59606630601924e-11i
21.1967468261719+0i,411.760475709158-1.19849215904174e-09i
21.533203125+0i,411.760475714988-2.59892560818462e-09i
21.8696594238281+0i,411.760475718307-3.8097964745208e-09i
22.2061157226562+0i,411.760475722322-4.54971981667769e-09i
22.5425720214844+0i,411.760475725036-4.86162264379345e-09i
22.8790283203125+0i,411.760475728616-4.59561926243199e-09i
23.2154846191406+0i,411.760475729086-4.01444369198358e-09i
23.5519409179688+0i,411.760475725898-3.25074877779582e-09i
23.8883972167969+0i,411.760475716883-2.56403695589995e-09i
24.224853515625+0i,411.76047570087-2.12705414812647e-09i
24.5613098144531+0i,411.760475675914-2.03337020105684e-09i
24.8977661132812+0i,411.760475640198-2.38533669022822e-09i
25.2342224121094+0i,411.760475597875-3.01300368333571e-09i
25.5706787109375+0i,411.760475556772-3.6184133509553e-09i
25.9071350097656+0i,411.760475529485-3.8093212007509e-09i
26.2435913085938+0i,411.760475527637-3.21323449604925e-09i
26.5800476074219+0i,411.760475556641-1.51085004981633e-09i
26.91650390625+0i,411.76047561126+1.32186228811047e-09i
27.2529602050781+0i,411.760475671894+4.89755491467081e-09i
27.5894165039062+0i,411.760475717692+8.82250015274758e-09i
27.9258728027344+0i,411.760475736838+1.23614651861978e-08i
28.2623291015625+0i,411.760475722462+1.49677822411697e-08i
28.5987854003906+0i,411.760475687264+1.59412532993635e-08i
28.9352416992188+0i,411.760475644843+1.53517851314979e-08i
29.2716979980469+0i,411.760475612843+1.22736366785294e-08i
29.608154296875+0i,411.760475596524+7.29378020069187e-09i
29.9446105957031+0i,411.760475601007+6.03856405525805e-10i
30.2810668945312+0i,411.760475610721-7.46542415271735e-09i
30.6175231933594+0i,411.760475620072-1.54999405832878e-08i
30.9539794921875+0i,411.760475620828-2.22980502171599e-08i
31.2904357910156+0i,411.760475611679-2.63126572924857e-08i
31.6268920898438+0i,411.760475591374-2.77281723798946e-08i
31.9633483886719+0i,411.760475564354-2.60786017509152e-08i
32.2998046875+0i,411.760475532274-2.21732771274322e-08i
32.6362609863281+0i,411.760475497567-1.67226428230179e-08i
32.9727172851562+0i,411.760475468133-9.10313475294571e-09i
33.3091735839844+0i,411.760475444504+5.41894933443808e-10i
33.6456298828125+0i,411.760475433387+1.23471938091288e-08i
